timestamp,side,amount,price,fee,fee_currency,trade_ids
2026-04-27 12:50:31,SELL,1500000.0,3.852e-06,0.01445,USD,TSVQGV-CEOQS-VVZDUZ,-0.0810604473200005,-0.9556395953982009
2026-04-27 13:23:31,SELL,374273.0,3.847e-06,0.0036,USD,TEKEKR-RBLTY-ZXNRBU,-0.007200506260000017,-0.9628401016582009
2026-04-27 13:25:27,SELL,249321.0,3.847e-06,0.0024,USD,T3X4P2-SGBDS-A3IO4H,-0.004798468020000057,-0.9676385696782009
2026-04-27 13:26:16,SELL,249321.0,3.847e-06,0.0024,USD,TWCYGC-UC65C-6ZMCYQ,-0.004798468019999946,-0.9724370376982009
2026-04-27 13:26:45,SELL,627085.0,3.847e-06,0.00603,USD,"TSG6BY-XTLAW-ICX6UN,TX5CP6-C3WSK-EUBVTE",0.0014261916616003026,-0.9710108460366006
2026-04-27 14:03:48,BUY,1986901.91,3.843e-06,0.01909,USD,TD3HM2-Q5FBM-5PQX6N
2026-04-27 14:41:49,BUY,1988383.04,3.834e-06,0.01906,USD,"TAVYQV-L4B2A-6SSUA5,TMXS3R-SYOTA-QZAN3L"
2026-04-27 15:15:52,SELL,1245757.0,3.85e-06,0.01199,USD,TGFY7R-AI2VT-YHEMM2,0.005096439061867519,-0.9659144069747331
2026-04-27 15:19:01,SELL,745179.02,3.85e-06,0.00717,USD,T7FCIS-TSMVD-M2LGPZ,-0.00014544577146669013,-0.9660598527461998
2026-04-27 15:42:35,SELL,1510884.0,3.86e-06,0.01458,USD,"T5TZJU-RJ6KG-VDXA7A,TAHIT6-WZS5P-YJ3YLO",0.014774064759343952,-0.9512857879868558
2026-04-27 15:47:32,BUY,1500000.0,3.846e-06,0.01442,USD,TBDAVP-HC65H-2BPI7D
